primary	synonyms	description
ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1|RNF162B|Berg36|ERF1|TIS11B|cMG1|BRF1|BERG36|BRF1|ERF1|RNF162B|TIS11B	ZFP36 ring finger protein like 1
ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D|ERF2|RNF162C|TIS11D|BRF2|BRF2|ERF2|RNF162C|TIS11D	ZFP36 ring finger protein like 2
ZFP37	ZNF906|zfp-37|ZNF906	ZFP37 zinc finger protein
ZFP41	ZNF753|zfp-41|FLJ38705|FLJ00028|ZNF753	ZFP41 zinc finger protein
ZFP42	REX-1|REX1|ZNF754|zfp-42|REX1|ZNF754|REX1|ZNF754	ZFP42 zinc finger protein
ZFP57	C6orf40|TNDM1|ZNF698|bA145L22|bA145L22.2|ZNF698|bA145L22|bA145L22.2|C6orf40|C6orf40|ZNF698	ZFP57 zinc finger protein
ZFP62	ZET|ZNF755|FLJ34231|ZET|ZNF755	ZFP62 zinc finger protein
ZFP64	ZNF338|FLJ10734|dJ831D17.1|FLJ12628|dJ548G19.1|ZNF338|ZNF338	ZFP64 zinc finger protein
ZFP64P1	ZNF405P	ZFP64 zinc finger protein pseudogene 1
ZFP69	ZFP69A|ZKSCAN23A|ZNF642|ZSCAN54A|ZKSCAN23A|FLJ16030|ZFP69A|ZSCAN54A|ZNF642|ZNF642	ZFP69 zinc finger protein
ZFP69B	ZKSCAN23B|ZNF643|ZSCAN54B|ZKSCAN23B|FLJ34293|ZSCAN54B|ZNF643|ZNF643	ZFP69 zinc finger protein B
ZFP82	ZNF545|MGC45380|KIAA1948|ZNF545|KIAA1948|ZNF545	ZFP82 zinc finger protein
ZFP90	FIK|NK10|ZNF756|zfp-90|KIAA1954|NK10|ZNF756|KIAA1954|ZNF756	ZFP90 zinc finger protein
ZFP91	DMS-8|DSM-8|FKSG11|PZF|ZFP-91|ZNF757|PZF|ZNF757|ZNF757	ZFP91 zinc finger protein
ZFP91-CNTF		
ZFP92	ZNF897|ZNF897	ZFP92 zinc finger protein
ZFP95		
ZFPL1	D11S750|MCG4|D11S750|MCG4	zinc finger protein like 1
ZFPM1	FOG|FOG1|ZC2HC11A|ZNF408|ZNF89A|FOG1|FOG|ZNF89A|ZC2HC11A|FOG1|ZFN89A	zinc finger protein| FOG family member 1
ZFPM2	DIH3|FOG2|SRXY9|ZC2HC11B|ZNF89B|hFOG-2|FOG2|hFOG-2|ZNF89B|ZC2HC11B|FOG2|ZNF89B	zinc finger protein| FOG family member 2
ZFPM2-AS1		
ZFR	SPG71|ZFR1|ZFR1|SPG71	zinc finger RNA binding protein
ZFR2	KIAA1086|KIAA1086|KIAA1086	zinc finger RNA binding protein 2
ZFRP1		
ZFS-1		
ZFS-2		
ZFS-3		
ZFS-4		
ZFS-5		
ZFS-6		
ZFX	ZNF926|ZNF926	zinc finger protein X-linked
ZFX-AS1		
ZFY	ZNF911|ZNF911	zinc finger protein Y-linked
ZFY-AS1	ZFY-AS|ZFYAS	ZFY antisense RNA 1
ZFYVE1	DFCP1|PPP1R172|SR3|TAFF1|ZNFN2A1|DFCP1|KIAA1589|TAFF1|PPP1R172|ZNFN2A1|DFCP1|KIAA1589|TAFF1|ZNFN2A1	zinc finger FYVE-type containing 1
ZFYVE16	PPP1R69|KIAA0305|PPP1R69|KIAA0305	zinc finger FYVE-type containing 16
ZFYVE19	ANCHR|MPFYVE|FLJ14840|ANCHR|ANCHR|MPFYVE	zinc finger FYVE-type containing 19
ZFYVE20		
ZFYVE21	HCVP7TP1|ZF21|MGC2550|ZF21	zinc finger FYVE-type containing 21
ZFYVE26	FYVE-CENT|SPG15|KIAA0321|SPG15|KIAA0321	zinc finger FYVE-type containing 26
ZFYVE27	PROTRUDIN|SPG33|FLJ32919|SPG33|SPG33	zinc finger FYVE-type containing 27
ZFYVE28	LST2|LYST2|KIAA1643|KIAA1643|LST2	zinc finger FYVE-type containing 28
ZFYVE9	MADHIP|NSP|PPP1R173|SARA|SMADIP|SMADIP|SARA|PPP1R173|MADHIP|MADHIP|SARA|SMADIP	zinc finger FYVE-type containing 9
ZFYVE9P1		
ZFYVE9P2		
ZG16	JCLN|JCLN1|ZG16A|hZG16|JCLN1|ZG16A|JCLN	zymogen granule protein 16
ZG16B	EECP|HRPE773|JCLN2|PAUF|PRO1567|HRPE773|PRO1567|JCLN2	zymogen granule protein 16B
ZGLP1	GATAD3|GLP-1|GLP1|GLP1|GLP-1|GATAD3|GLP1	zinc finger| GATA-like protein 1
ZGPAT	GPATC6|GPATCH6|KIAA1847|ZC3H9|ZC3HDC9|ZIP|dJ583P15.3|MGC44880|FLJ14972|ZC3HDC9|ZC3H9|GPATC6|GPATCH6|ZIP|KIAA1847|GPATC6|GPATCH6|KIAA1847|ZC3H9|ZC3HDC9|ZIP	zinc finger CCCH-type and G-patch domain containing
ZGRF1	C4orf21|FLJ11331|C4orf21|C4orf21	zinc finger GRF-type containing 1
ZHX1		
ZHX1-C8orf76	C8orf76	
ZHX2	AFR1|RAF|KIAA0854|AFR1|KIAA0854|RAF	zinc fingers and homeoboxes 2
ZHX3	TIX1|KIAA0395|TIX1|KIAA0395|TIX1	zinc fingers and homeoboxes 3
ZIC1	CRS6|ZIC|ZNF201|ZIC|ZNF201|ZIC|ZNF201	Zic family member 1
ZIC2	HPE5|HPE5	Zic family member 2
ZIC3	HTX|HTX1|VACTERLX|ZNF203|HTX|ZNF203|HTX1|ZNF203	Zic family member 3
ZIC4		
ZIC4-AS1		
ZIC5		
ZIK1	ZNF762|ZNF762|ZNF762	zinc finger protein interacting with K protein 1
ZIK1P1		
ZIM2	ZNF656|ZNF656|ZNF656	zinc finger imprinted 2
ZIM2-AS1	ZIM2as	ZIM2 antisense RNA 1
ZIM3	ZNF657|ZNF657|ZNF657	zinc finger imprinted 3
ZKSCAN1	KOX18|PHZ-37|ZNF139|ZNF36|ZSCAN33|KOX18|PHZ-37|ZSCAN33|ZNF139|ZNF36|KOX18|ZNF139|ZNF36	zinc finger with KRAB and SCAN domains 1
ZKSCAN2	ZNF694|ZSCAN31|ZSCAN34|FLJ23199|ZSCAN34|ZNF694|ZNF694	zinc finger with KRAB and SCAN domains 2
ZKSCAN2-DT		
ZKSCAN3	ZF47|ZFP306|ZNF306|ZNF309|ZSCAN13|ZSCAN35|Zfp47|dJ874C20.1|dJ874C20.1.|zfp-47|Zfp47|ZF47|ZSCAN35|ZNF306|ZNF309|ZFP47|ZNF306|ZNF309|ZSCAN13	zinc finger with KRAB and SCAN domains 3
ZKSCAN4	P1P373C6|ZNF307|ZNF427|ZSCAN36|p373c6.1|P1P373C6|FLJ32136|ZSCAN36|ZNF307|ZNF427|ZNF307|ZNF427	zinc finger with KRAB and SCAN domains 4
ZKSCAN5	ZFP-95|ZFP95|ZNF914|ZSCAN37|ZNF914|ZSCAN37|ZFP95|KIAA1015|ZFP95	zinc finger with KRAB and SCAN domains 5
ZKSCAN7	ZFP|ZNF167|ZNF448|ZNF64|ZSCAN39|FLJ12738|ZSCAN39|ZNF64|ZNF448|ZNF167|ZNF167|ZNF448|ZNF64	zinc finger with KRAB and SCAN domains 7
ZKSCAN7P1		
ZKSCAN8	LD5-1|ZNF192|ZSCAN40|LD5-1|ZSCAN40|ZNF192|ZNF192	zinc finger with KRAB and SCAN domains 8
ZLS		
ZMAT1	KIAA1789|KIAA1789	
ZMAT2	Ptg-12|Snu23|FLJ31121|hSNU23|Snu23	zinc finger matrin-type 2
ZMAT3	PAG608|WIG-1|WIG1|WIG1|MGC10613|FLJ12296|WIG-1|PAG608|PAG608|WIG1	zinc finger matrin-type 3
ZMAT4	FLJ13842	
ZMAT5	SNRNP20|U11/U12-20K|ZC3H19|SNRNP20|ZC3H19	zinc finger matrin-type 5
ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10|RP11-519K18.1|KIAA1224|FLJ13541|hZIMP10|Zimp10|MIZ|RAI17|KIAA1224|RAI17|ZIMP10	zinc finger MIZ-type containing 1
ZMIZ1-AS1		
ZMIZ2	NET27|TRAFIP20|ZIMP7|hZIMP7|KIAA1886|hZIMP7|ZIMP7|DKFZp761I2123|NET27|KIAA1886|ZIMP7	zinc finger MIZ-type containing 2
ZMPSTE24	FACE-1|FACE1|HGPS|PRO1|STE24|Ste24p|FACE-1|Ste24p|STE24|HGPS|PRO1|FACE1|STE24	zinc metallopeptidase STE24
ZMYM1	MYM|FLJ23151|MYM	zinc finger MYM-type containing 1
ZMYM2	FIM|MYM|RAMP|SCLL|ZNF198|RAMP|FIM|MYM|ZNF198|FIM|RAMP|ZNF198	zinc finger MYM-type containing 2
ZMYM3	DXS6673E|MYM|XFIM|ZNF198L2|ZNF261|ZNF198L2|DXS6673E|KIAA0385|MYM|ZNF261|DXS6673E|KIAA0385|ZNF261	zinc finger MYM-type containing 3
ZMYM4	CDIR|MYM|ZNF198L3|ZNF262|KIAA0425|ZNF198L3|MYM|ZNF262|KIAA0425|ZNF262	zinc finger MYM-type containing 4
ZMYM4-AS1		
ZMYM5	HSPC050|MYM|ZNF198L1|ZNF237|ZNF198L1|MYM|ZNF237|ZNF198L1|ZNF237	zinc finger MYM-type containing 5
ZMYM6	Buster2|MYM|ZBED7|ZNF198L4|ZNF258|ZNF198L4|MYM|Buster2|ZBED7|ZNF258|Buster2|KIAA1353|ZNF258	zinc finger MYM-type containing 6
ZMYND10	BLU|CILD22|DNAAF7|FLU|BLU|CILD22|DNAAF7|BLU	zinc finger MYND-type containing 10
ZMYND10-AS1		
ZMYND11	BRAM1|BS69|MRD30|BS69|BRAM1|BS69	zinc finger MYND-type containing 11
ZMYND12	DKFZp434N2435	
ZMYND15	SPGF14|DKFZp434N127	zinc finger MYND-type containing 15
ZMYND19	MIZIP|MIZIP|MIZIP	zinc finger MYND-type containing 19
ZMYND19P1		
ZMYND8	PRKCBP1|PRO2893|RACK7|RACK7|PRKCBP1|KIAA1125|PRKCBP1|RACK7	zinc finger MYND-type containing 8
ZNF		
ZNF10	KOX1|KOX1|KOX1	zinc finger protein 10
ZNF100		
ZNF101	HZF12|HZF12|DKFZp570I0164	zinc finger protein 101
ZNF101P1		
ZNF101P2		
ZNF106	SH3BP3|ZFP106|ZNF474|ZNF474|SH3BP3|ZFP106|SH3BP3|ZFP106|ZNF474	zinc finger protein 106
ZNF107	Y8|ZFD25|ZNF588|smap-7|ZFD25|smap-7|ZNF588|ZFD25|ZNF588	zinc finger protein 107
ZNF112	ZFP112|ZNF228|ZFP112|ZNF228|ZFP112|ZNF228	zinc finger protein 112
ZNF114	MGC17986	
ZNF114-AS1		
ZNF114P1		
ZNF117	H-plk|HPF9|HPF9|H-plk	zinc finger protein 117
ZNF12	GIOT-3|HZF11|KOX3|ZNF325|KOX3|GIOT-3|ZNF325|GIOT3|KOX3|ZNF325	zinc finger protein 12
ZNF121	D19S204|ZHC32|ZNF20|ZHC32|ZNF20|D19S204|ZNF20	zinc finger protein 121
ZNF123P	HZF-1|ZNF123	zinc finger protein 123| pseudogene
ZNF124	HZF-16|HZF16|ZK7|HZF16|HZF-16	zinc finger protein 124
ZNF131	ZBTB35|pHZ-10|ZBTB35|pHZ-10	zinc finger protein 131
ZNF132	pHZ-12|pHZ-12	zinc finger protein 132
ZNF133	ZNF150|pHZ-13|pHZ-66|pHZ-13|pHZ-66|ZNF150|ZNF150	zinc finger protein 133
ZNF134	pHZ-15|pHZ-15	zinc finger protein 134
ZNF135	ZNF61|ZNF78L1|pHZ-17|pT3|pHZ-17|ZNF61|ZNF78L1|ZNF61|ZNF78L1	zinc finger protein 135
ZNF136	pHZ-20|pHZ-20	zinc finger protein 136
ZNF137P	ZNF137|pHZ-30|ZNF137	zinc finger protein 137| pseudogene
ZNF138	pHZ-32|pHZ-32	zinc finger protein 138
ZNF14	GIOT-4|KOX6|KOX6|GIOT-4|GIOT4|KOX6	zinc finger protein 14
ZNF140	pHZ-39|pHZ-39	zinc finger protein 140
ZNF141	D4S90|pHZ-44|pHZ-44|D4S90|D4S90	zinc finger protein 141
ZNF142	pHZ-49|KIAA0236|pHZ-49|KIAA0236	zinc finger protein 142
ZNF143	SBF|STAF|pHZ-1|SBF|pHZ-1|STAF|SBF|STAF	zinc finger protein 143
ZNF146	OZF|OZF|OZF	zinc finger protein 146
ZNF148	BERF-1|BFCOL1|GDACCF|HT-BETA|ZBP-89|ZFP148|pHZ-52|BERF-1|ZBP-89|BFCOL1|HT-BETA|ZFP148|pHZ-52|ZBP89	zinc finger protein 148
ZNF154	pHZ-92|pHZ-92|KIAA2003	zinc finger protein 154
ZNF155	pHZ-96|pHZ-96	zinc finger protein 155
ZNF157	HZF22|HZF22	zinc finger protein 157
ZNF16	HZF1|KOX9|KOX9|HZF1|KOX9	zinc finger protein 16
ZNF160	F11|HKr18|HZF5|KR18|HZF5|F11|KR18|HKr18|FLJ00032|KIAA1611|KIAA1611	zinc finger protein 160
ZNF165	CT53|LD65|ZSCAN7|ZSCAN7|CT53|ZPF165|ZSCAN7	zinc finger protein 165
ZNF167		
ZNF169	MGC51961	
ZNF17	HPF3|KOX10|HPF3|KOX10|KIAA1947|FLJ40864|FLJ46058|FLJ46615|KIAA1947|KOX10	zinc finger protein 17
ZNF174	ZSCAN8|ZSCAN8|ZSCAN8	zinc finger protein 174
ZNF175	OTK18|OTK18	zinc finger protein 175
ZNF177	PIGX	zinc finger protein 177
ZNF18	HDSG1|KOX11|ZKSCAN6|ZNF535|ZSCAN38|Zfp535|ZKSCAN6|KOX11|HDSG1|Zfp535|ZNF535|ZSCAN38|HDSG1|KOX11|ZKSCAN6|ZNF535	zinc finger protein 18
ZNF180	HHZ168|HHZ168	zinc finger protein 180
ZNF181	HHZ181|HHZ181|MGC44316	zinc finger protein 181
ZNF182	HHZ150|KOX14|ZNF21|Zfp182|KOX14|HHZ150|Zfp182|ZNF21|KOX14|ZNF21	zinc finger protein 182
ZNF183	NDUFA1	
ZNF184	kr-ZNF3	zinc finger protein 184
ZNF185	SCELL|SCELL	zinc finger protein 185 with LIM domain
ZNF189		
ZNF19	KOX12|KOX12|MGC51021|KOX12	zinc finger protein 19
ZNF192		
ZNF192P1	ZNF389|ZNF389P|dJ265C24.4	zinc finger protein 192 pseudogene 1
ZNF192P2		
ZNF193		
ZNF195	HRF1|ZNFP104|ZNFP104	zinc finger protein 195
ZNF197	D3S1363E|P18|VHLaK|ZKSCAN9|ZNF166|ZNF20|ZSCAN41|P18|D3S1363E|ZKSCAN9|ZSCAN41|ZNF166|ZKSCAN9|ZNF166	zinc finger protein 197
ZNF197-AS1		
ZNF198		
ZNF2	A1-5|ZNF661|Zfp661|A1-5|ZNF661|Zfp661|ZNF661	zinc finger protein 2
ZNF20	KOX13|KOX13|KOX13	zinc finger protein 20
ZNF200	ZNFMF	
ZNF202	ZKSCAN10|ZSCAN42|ZKSCAN10|ZSCAN42|ZKSCAN10	zinc finger protein 202
ZNF204P	ZNF184-Lp|ZNF204|ZNF315P|b24o18.1	zinc finger protein 204| pseudogene
ZNF205	RhitH|ZNF210|Zfp13|Zfp13|ZNF210|ZNF210	zinc finger protein 205
ZNF205-AS1		
ZNF207	BuGZ|hBuGZ|BuGZ|BUGZ	zinc finger protein 207
ZNF208	PMIDP|ZNF95|PMIDP|ZNF95|ZNF91L	zinc finger protein 208
ZNF209P	ZNF209	zinc finger protein 209| pseudogene
ZNF211	C2H2-25|CH2H2-25|ZNF-25|ZNF-25|CH2H2-25	zinc finger protein 211
ZNF212	C2H2-150|ZNF182|ZNFC150|C2H2-150|ZNFC150	zinc finger protein 212
ZNF213	CR53|ZKSCAN21|ZSCAN53|CR53|ZKSCAN21|ZSCAN53|ZKSCAN21	zinc finger protein 213
ZNF213-AS1		
ZNF214	BAZ-1|BAZ1|BAZ1	zinc finger protein 214
ZNF215	BAZ-2|BAZ2|ZKSCAN11|ZSCAN43|ZKSCAN11|ZSCAN43|BAZ2|ZKSCAN11	zinc finger protein 215
ZNF217	ZABC1|ZABC1|ZABC1	zinc finger protein 217
ZNF219	ZFP219	zinc finger protein 219
ZNF22	HKR-T1|KOX15|ZNF422|Zfp422|KOX15|HKR-T1|ZNF422|Zfp422|KOX15|KROX26	zinc finger protein 22
ZNF221		
ZNF222		
ZNF223		
ZNF224	BMZF-2|BMZF2|KOX22|ZNF233|ZNF255|ZNF27|BMZF-2|KOX22|ZNF255|ZNF27|BMZF2|KOX22|ZNF233|ZNF255|ZNF27	zinc finger protein 224
ZNF225		
ZNF226		
ZNF227		
ZNF229		
ZNF23	KOX16|ZNF359|ZNF612|Zfp612|KOX16|Zfp612|ZNF612|ZNF359|KOX16|ZNF359|ZNF612	zinc finger protein 23
ZNF230	FDZF2|FDZF2|FDZF2	zinc finger protein 230
ZNF232	ZSCAN11|ZSCAN11|ZSCAN11	zinc finger protein 232
ZNF233	FLJ38032	
ZNF234	HZF4|ZNF269|HZF4|ZNF269|ZNF269	zinc finger protein 234
ZNF235	ANF270|HZF6|ZFP93|ZNF270|HZF6|ANF270|ZNF270|ZFP93|ZFP93|ZNF270	zinc finger protein 235
ZNF236	ZNF236A|ZNF236B	zinc finger protein 236
ZNF236-DT		
ZNF238		
ZNF239	HOK-2|MOK2|MOK2|HOK-2|HOK2|MOK2	zinc finger protein 239
ZNF24	KOX17|RSG-A|ZNF191|ZSCAN3|Zfp191|ZSCAN3|Zfp191|KOX17|ZNF191|KOX17|ZNF191|ZSCAN3	zinc finger protein 24
ZNF248	bA162G10.3|bA162G10.3	zinc finger protein 248
ZNF25	KOX19|Zfp9|KOX19|FLJ31890|Zfp9|KOX19	zinc finger protein 25
ZNF250	ZFP647|ZNF647|MGC9718|ZFP647|ZNF647|ZNF647	zinc finger protein 250
ZNF251		
ZNF252P	ZNF252	zinc finger protein 252| pseudogene
ZNF252P-AS1	C8orf77|C8orf77	ZNF252P antisense RNA 1
ZNF253	BMZF-1|BMZF1|ZNF411|BMZF-1|FLJ90391|ZNF411|BMZF1|ZNF411	zinc finger protein 253
ZNF254	BMZF-5|HD-ZNF1|ZNF539|ZNF91L|HD-ZNF1|BMZF-5|ZNF91L|ZNF539|BMZF5|ZNF539|ZNF91L	zinc finger protein 254
ZNF256	BMZF-3|BMZF3|BMZF-3|BMZF3	zinc finger protein 256
ZNF257	BMZF-4|BMZF4|BMZF-4|BMZF4	zinc finger protein 257
ZNF259P1	354J5|ZNF259P	zinc finger protein 259 pseudogene 1
ZNF26	HEL-179|KOX20|KOX20|FLJ20755|KOX20	zinc finger protein 26
ZNF260	OZRF1|PEX1|ZFP260|ozrf1|Zfp260|ZFP260	zinc finger protein 260
ZNF263	FPM315|ZKSCAN12|ZSCAN44|FPM315|ZKSCAN12|ZSCAN44|FPM315|ZKSCAN12	zinc finger protein 263
ZNF264	KIAA0412|KIAA0412	
ZNF266	HZF1|HZF1|KIAA2007	zinc finger protein 266
ZNF267	HZF2|HZF2	zinc finger protein 267
ZNF268	HZF3|HZF3	zinc finger protein 268
ZNF271P	CT-ZFP48|HZF7|ZNF-EB|ZNF-dp|ZNF271|ZNFEB	zinc finger protein 271| pseudogene
ZNF273	HZF9|HZF9	zinc finger protein 273
ZNF274	HFB101|ZF2|ZKSCAN19|ZSCAN51|ZKSCAN19|ZSCAN51|ZKSCAN19	zinc finger protein 274
ZNF275		
ZNF276	CENP-Z|CENPZ|ZADT|ZFP276|ZNF477|MGC45417|ZNF477|CENPZ|CENP-Z|ZADT|ZFP276|CENP-Z|ZFP276|ZNF477	zinc finger protein 276
ZNF277	NRIF4|ZNF277P|NRIF4|ZNF277P|NRIF4|ZNF277P	zinc finger protein 277
ZNF278		
ZNF28	KOX24|KOX24|DKFZp781D0275|KOX24	zinc finger protein 28
ZNF280A	3'OY11.1|SUHW1|ZNF280|ZNF636|3'OY11.1|ZNF636|ZNF280|SUHW1|SUHW1|ZNF280|ZNF636	zinc finger protein 280A
ZNF280B	5'OY11.1|D87009.C22.3|SUHW2|ZNF279|ZNF632|5'OY11.1|ZNF632|ZNF279|SUHW2|SUHW2|ZNF279|ZNF632	zinc finger protein 280B
ZNF280C	SUHW3|ZNF633|FLJ20095|ZNF633|SUHW3|SUHW3|ZNF633	zinc finger protein 280C
ZNF280D	SUHW4|ZNF634|FLJ20086|ZNF634|SUHW4|KIAA1584|SUHW4|ZNF634	zinc finger protein 280D
ZNF281	ZBP-99|ZNP-99|ZBP-99|GZP1|ZBP99	zinc finger protein 281
ZNF282	HUB1|HUB1|HUB1	zinc finger protein 282
ZNF283	HZF19|HZF41	zinc finger protein 283
ZNF284	ZNF284L|DKFZp781F1775|ZNF284L	zinc finger protein 284
ZNF285	ZNF285A|ZNF285A|ZNF285A	zinc finger protein 285
ZNF285A		
ZNF285B		
ZNF286A	ZNF286|KIAA1874|ZNF286|KIAA1874|ZNF286	zinc finger protein 286A
ZNF286B	ZNF286C|ZNF286L|ZNF590|ZNF590|ZNF286L|ZNF286C|ZNF286C|ZNF286L	zinc finger protein 286B
ZNF287	ZKSCAN13|ZSCAN45|ZKSCAN13|ZSCAN45|ZKSCAN13	zinc finger protein 287
ZNF292	Nbla00365|ZFP292|ZN-16|Zn-15|bA393I2.3|KIAA0530|ZFP292|bA393I2.3|Zn-15|Zn-16|KIAA0530	zinc finger protein 292
ZNF295-AS1	C21orf121|NCRNA00318|PRED87|C21orf121|NCRNA00318	ZNF295 antisense RNA 1
ZNF296	ZFP296|ZNF342|ZNF342|ZNF342	zinc finger protein 296
ZNF299P	ZNF299|ZNF299P1	zinc finger protein 299| pseudogene
ZNF29P	KOX26|ZNF29	zinc finger protein 29| pseudogene
ZNF3	A8-51|HF.12|KOX25|PP838|Zfp113|A8-51|KOX25|PP838|FLJ20216|HF.12|Zfp113|KOX25	zinc finger protein 3
ZNF30	KOX28|KOX28|DKFZp686N19164|FLJ20562|KOX28	zinc finger protein 30
ZNF30-AS1		
ZNF300		
ZNF300P1		
ZNF302	HSD16|MST154|MSTP154|ZNF135L|ZNF140L|ZNF327|ZNF327|ZNF135L|ZNF140L|ZNF135L|ZNF140L|ZNF327	zinc finger protein 302
ZNF304		
ZNF311	zf31|ZFP31	zinc finger protein 311
ZNF313		
ZNF316	MZF-3|MZF-3|ENST00000305834	zinc finger protein 316
ZNF317	KIAA1588	
ZNF317P1		
ZNF318	HRIHFB2436|TZF|ZFP318|HRIHFB2436|ZFP318	zinc finger protein 318
ZNF319	ZFP319|KIAA1388|Zfp319|KIAA1388	zinc finger protein 319
ZNF32	KOX30|KOX30|KOX30	zinc finger protein 32
ZNF32-AS1	ZNF32OS1|bA402L1.8	ZNF32 antisense RNA 1
ZNF32-AS2	ZNF32OS2|b402L1.7	ZNF32 antisense RNA 2
ZNF32-AS3	C10orf44|ZNF32-OT1|bA402L1.3	ZNF32 antisense RNA 3
ZNF320	ZFPL|ZFPL|DKFZp686G16228	zinc finger protein 320
ZNF321P	ZNF321|ZNF321	zinc finger protein 321| pseudogene
ZNF322	HCG12|ZNF322A|ZNF388|ZNF489|bA457M11.3|bA457M11.2|ZNF489|ZNF388|HCG12|ZNF322A|ZNF322A|ZNF388|ZNF489	zinc finger protein 322
ZNF322A		
ZNF322P1	ZNF322|ZNF322B	zinc finger protein 322 pseudogene 1
ZNF323		
ZNF324	ZF5128|ZNF324A|ZF5128|ZNF324A|ZNF324A	zinc finger protein 324
ZNF324B	FLJ45850	
ZNF326	ZAN75|ZIRD|Zfp326|dJ871E2.1|Zfp326|ZAN75|FLJ20403|ZIRD|ZIRD	zinc finger protein 326
ZNF329	FLJ12586	
ZNF330	HSA6591|NOA36|NOA36|HSA6591|NOA36	zinc finger protein 330
ZNF331	RITA|ZNF361|ZNF463|RITA|ZNF463|ZNF361|RITA|ZNF361|ZNF463	zinc finger protein 331
ZNF333	KIAA1806|KIAA1806	
ZNF334	bA179N14.1	
ZNF335	MCPH10|NIF-1|NIF1|NIF2|bA465L10.2|NIF-1	zinc finger protein 335
ZNF337	dJ694B14.1	
ZNF337-AS1		
ZNF33A	KOX2|KOX31|KOX5|NF11A|ZNF11|ZNF11A|ZNF33|ZZAPK|KOX5|KOX31|KIAA0065|FLJ23404|ZZAPK|ZNF33|ZNF11A|KIAA0065|KOX31|ZNF11|ZNF11A|ZNF33	zinc finger protein 33A
ZNF33B	KOX2|KOX31|ZNF11B|KOX31|KOX2|ZNF11B|KOX2|ZNF11B	zinc finger protein 33B
ZNF33BP1		
ZNF33CP	BA393J16.4|ZNF33AP1	zinc finger protein 33C| pseudogene
ZNF34	KOX32|KOX32|KOX32	zinc finger protein 34
ZNF341	dJ553F4.3	
ZNF341-AS1		
ZNF343	dJ734P14.5|MGC10715	zinc finger protein 343
ZNF345	HZF10|HZF10	zinc finger protein 345
ZNF346	JAZ|Zfp346|JAZ|Zfp346|JAZ	zinc finger protein 346
ZNF346-IT1		
ZNF347	ZNF1111|ZNF1111|ZNF1111	zinc finger protein 347
ZNF35	HF.10|HF10|Zfp105|HF.10|HF10|Zfp105	zinc finger protein 35
ZNF350	ZBRK1|ZFQR|ZBRK1|ZFQR|ZBRK1	zinc finger protein 350
ZNF350-AS1	HCCAT3|uc002pyc	ZNF350 antisense RNA 1
ZNF354A	EZNF|HEL104|HKL1|KID-1|KID1|TCF17|KID-1|EZNF|HKL1|KID1|TCF17|EZNF|HKL1|TCF17	zinc finger protein 354A
ZNF354B	KID2|KID2|FLJ25008	zinc finger protein 354B
ZNF354C	KID3|KID3|KID3	zinc finger protein 354C
ZNF355P	PRED65|ZNF834|ZNF834	zinc finger protein 355| pseudogene
ZNF358	ZFEND|FLJ10390|ZFEND	zinc finger protein 358
ZNF362	RN|lin-29|FLJ25476|lin-29|RN	zinc finger protein 362
ZNF365	Su48|UAN|ZNF365D|KIAA0844|UAN|KIAA0844	zinc finger protein 365
ZNF366	DC-SCRIPT|DCSCRIPT|FLJ39796	zinc finger protein 366
ZNF367	AFF29|CDC14B|ZFF29|FLJ33970|ZFF29	zinc finger protein 367
ZNF37A	KOX21|ZNF37|KOX21|ZNF37|KOX21|ZNF37	zinc finger protein 37A
ZNF37BP	KOX21|ZNF37B	zinc finger protein 37B| pseudogene
ZNF37CP	BA775A3.1|ZNF37C	zinc finger protein 37C| pseudogene
ZNF382	KS1|FLJ14686|KS1	zinc finger protein 382
ZNF383	HSD17|FLJ35863	zinc finger protein 383
ZNF384	CAGH1|CAGH1A|CIZ|ERDA2|NMP4|NP|TNRC1|CAGH1A|CIZ|NMP4|NP|TNRC1|CAGH1|CIZ|NMP4|TNRC1	zinc finger protein 384
ZNF385		
ZNF385A	HZF|RZF|ZFP385|ZNF385|DKFZp586G1122|Hzf|ZFP385|ZNF385|HZF|RZF|ZNF385	zinc finger protein 385A
ZNF385B	ZNF533|FLJ25270|ZNF533|ZNF533	zinc finger protein 385B
ZNF385C		
ZNF385D	ZNF659|FLJ22419|ZNF659|ZNF659	zinc finger protein 385D
ZNF385D-AS1		
ZNF385D-AS2		
ZNF389		
ZNF391	dJ153G14.3|dJ153G14.3	zinc finger protein 391
ZNF394	ZKSCAN14|ZSCAN46|ZKSCAN14|FLJ12298|ZSCAN46|ZKSCAN14	zinc finger protein 394
ZNF395	HDBP-2|HDBP2|HDRF-2|PBF|PRF-1|PRF1|Si-1-8-14|PRF-1|HDBP2|PBF|DKFZp434K1210|HDBP2|PBF	zinc finger protein 395
ZNF396	ZSCAN14|ZSCAN14|FLJ31213|ZSCAN14	zinc finger protein 396
ZNF397	ZNF47|ZSCAN15|ZSCAN15|MGC13250|ZNF47|ZNF47|ZSCAN15	zinc finger protein 397
ZNF398	P51|P71|ZER6|ZER6|KIAA1339|P51|P71|KIAA1339|ZER6	zinc finger protein 398
ZNF402P		
ZNF404		
ZNF407	FLJ20307|FLJ13839|KIAA1703|KIAA1703	
